title,author,date,publication_type,rejection_reason
DOLL TEXAS TWINS VS. MILTON TWINS,,,,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
DOLL THICC STACI,,,,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
"DOLL, ABELLA DANGER",,,,"Title 15, Section 3006(c)(17) – frontal nudity"
"DOLL, ABELLA DANGER, ELSA JEAN, LUST 4 LEXI A, VALENTINA NAPPI A AND ABELLA DANGER",,,,"Title 15, Section 3006(c)(17) – frontal nudity"
"DOLL, ADRIAN MAYA",,,,"Title 15, Section 3006(c)(17) – frontal nudity"
"DOLL, ALEXIS TEXAS",,,,"Title 15, Section 3006(c)(17) – frontal nudity"
"DOLL, ALINA LOPEZ",,,,"Title 15, Section 3006(c)(17) – frontal nudity"
"DOLL, ALINA WEST A",,,,"Title 15, Section 3006(c)(17) – frontal nudity"
"DOLL, ALINA WEST B",,,,"Title 15, Section 3006(c)(17) – frontal nudity"
"DOLL, ALSION TYLER A, B, C AND D",,,,"Title 15, Section 3006(c)(17) – frontal nudity"
"DOLL, AMAI LIU, AUGUSTA AMES B, EMMA BAILEY, GIRL SPANK C",,,,"Title 15, Section 3006(c)(17) – frontal nudity"
"DOLL, ANA CARLENE",,,,"Title 15, Section 3006(c)(17) – frontal nudity"
"DOLL, ASIA A",,,,"Title 15, Section 3006(c)(17) – frontal nudity"
"DOLL, ASIA B",,,,"Title 15, Section 3006(c)(17) – frontal nudity"
"DOLL, AURORA JOLIE",,,,"Title 15, Section 3006(c)(17) – frontal nudity"
"DOLL, BABES A",,,,"Title 15, Section 3006(c)(17) – frontal nudity"
"DOLL, BABES B",,,,"Title 15, Section 3006(c)(17) – frontal nudity"
"DOLL, BIG NATURALS",,,,"Title 15, Section 3006(c)(17) – frontal nudity"
"DOLL, BLACKED",,,,"Title 15, Section 3006(c)(17) – frontal nudity"
"DOLL, BLACKED RAW",,,,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
"DOLL, BONNIE ROTTEN, HITOMI TANAKA, KATSUNI 8, KATSUNI C, SARA JAY AND AUNT JUDY’S A",,,,"Title 15, Section 3006(c)(17) – frontal nudity"
"DOLL, BRITTANYA A",,,,"Title 15, Section 3006(c)(17) – frontal nudity"
"DOLL, BRITTANYA B",,,,"Title 15, Section 3006(c)(17) – frontal nudity"
"DOLL, CAROLINA SWEETS A",,,,"Title 15, Section 3006(c)(17) – frontal nudity"
"DOLL, CAROLINA SWEETS B",,,,"Title 15, Section 3006(c)(17) – frontal nudity"
"DOLL, CASSIDY BANKS, NADIA ALI, LAYLA MONROE, KIARA MIA B, JOLIE STARR AND JENNA FOXX A",,,,"Title 15, Section 3006(c)(17) – frontal nudity"
"DOLL, CELEBRITIEWS LEAKED 1",,,,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
"DOLL, CELEBRITY LEAKED 1",,,,"Title 15, Section 3006(c)(17) – frontal nudity"
"DOLL, CELEBRITY LEAKED 2, ASIAN IDOLS A AND ASIAN IDOLS B",,,,"Title 15, Section 3006(c)(17) – frontal nudity"
"DOLL, CELEBRITY SEXTAPES",,,,"Title 15, Section 3006(c)(17) – frontal nudity"
"DOLL, CHEROKEE D",,,,"Title 15, Section 3006(c)(17) – frontal nudity"
"DOLL, CHOUZUKI MARYOU A, JESSICA BANGKOK A, MIKA TAN, MEGAN QT D, MEGAN QT C, MEGAN QT B AND JOLIE STARR",,,,"Title 15, Section 3006(c)(17) – frontal nudity"
"DOLL, CHRISTY MACK",,,,"Title 15, Section 3006(c)(17) – frontal nudity"
"DOLL, DENISE GOMEZ",,,,"Title 15, Section 3006(c)(17) – frontal nudity"
"DOLL, DON’T BREAK ME",,,,"Title 15, Section 3006(c)(17) – frontal nudity"
"DOLL, EBONY A",,,,"Title 15, Section 3006(c)(17) – frontal nudity"
"DOLL, EBONY B",,,,"Title 15, Section 3006(c)(17) – frontal nudity"
"DOLL, EVA LOVIA",,,,"Title 15, Section 3006(c)(17) – frontal nudity"
"DOLL, EXOTIC 4K",,,,"Title 15, Section 3006(c)(17) – frontal nudity"
"DOLL, FAYE REOGAN, JYNX MAZE, PRIYA RAI, LONI LEGENDS A, LONIE LEGENDS C, AND CHRISTY MACK",,,,"Title 15, Section 3006(c)(17) – frontal nudity"
"DOLL, FUKYOUINKMEE 1",,,,"Title 15, Section 3006(c)(17) – frontal nudity"
"DOLL, GOGO FUK ME",,,,"Title 15, Section 3006(c)(17) – frontal nudity"
"DOLL, HANNAH HAYS B",,,,"Title 15, Section 3006(c)(17) – frontal nudity"
"DOLL, HITOMI TANAKA",,,,"Title 15, Section 3006(c)(17) – frontal nudity"
"DOLL, HOTSHOT HOOKUP A",,,,"Title 15, Section 3006(c)(17) – frontal nudity"
"DOLL, INDIAN A",,,,"Title 15, Section 3006(c)(17) – frontal nudity"
"DOLL, INDIAN B",,,,"Title 15, Section 3006(c)(17) – frontal nudity"
"DOLL, JESSICA BANGKOK B",,,,"Title 15, Section 3006(c)(17) – frontal nudity"
"DOLL, JYNX MAZE",,,,"Title 15, Section 3006(c)(17) – frontal nudity"
"DOLL, KENDRA LUST D, KYLIE QUINN B AND REDHEAD B",,,,"Title 15, Section 3006(c)(17) – frontal nudity"
"DOLL, KIARA MIA A",,,,"Title 15, Section 3006(c)(17) – frontal nudity"
"DOLL, KYLIE PAGE",,,,"Title 15, Section 3006(c)(17) – frontal nudity"
"DOLL, KYLIE QUINN A",,,,"Title 15, Section 3006(c)(17) – frontal nudity"
"DOLL, LACEY DUVALLE",,,,"Title 15, Section 3006(c)(17) – frontal nudity"
"DOLL, LATINA A",,,,"Title 15, Section 3006(c)(17) – frontal nudity"
"DOLL, LATINA B",,,,"Title 15, Section 3006(c)(17) – frontal nudity"
"DOLL, LAYLA MONROE",,,,"Title 15, Section 3006(c)(17) – frontal nudity"
"DOLL, LILY ADAMS A",,,,"Title 15, Section 3006(c)(17) – frontal nudity"
"DOLL, LILY ADAMS B",,,,"Title 15, Section 3006(c)(17) – frontal nudity"
"DOLL, LUCY DOLL A AND B",,,,"Title 15, Section 3006(c)(17) – frontal nudity"
"DOLL, LUCY DOLL C",,,,"Title 15, Section 3006(c)(17) – frontal nudity"
"DOLL, LUNA STAR B",,,,"Title 15, Section 3006(c)(17) – frontal nudity"
"DOLL, LUNA STAR C",,,,"Title 15, Section 3006(c)(17) – frontal nudity"
"DOLL, MASERATI",,,,"Title 15, Section 3006(c)(17) – frontal nudity"
"DOLL, MEGAN SALINAS",,,,"Title 15, Section 3006(c)(17) – frontal nudity"
"DOLL, MELISSA MAY",,,,"Title 15, Section 3006(c)(17) – frontal nudity"
"DOLL, MIKE IN BRAZIL",,,,"Title 15, Section 3006(c)(17) – frontal nudity"
"DOLL, MIKE IN BRAZIL C",,,,"Title 15, Section 3006(c)(17) – frontal nudity"
"DOLL, MORGAN LEE B AND NADIA ALI",,,,"Title 15, Section 3006(c)(17) – frontal nudity"
"DOLL, NYOMI BANXXX",,,,"Title 15, Section 3006(c)(17) – frontal nudity"
"DOLL, PRIYA PRICE",,,,"Title 15, Section 3006(c)(17) – frontal nudity"
"DOLL, REDHEAD A",,,,"Title 15, Section 3006(c)(17) – frontal nudity"
"DOLL, REMY LACROIX",,,,"Title 15, Section 3006(c)(17) – frontal nudity"
"DOLL, ROSE MONROE B",,,,"Title 15, Section 3006(c)(17) – frontal nudity"
"DOLL, SADIE POP A",,,,"Title 15, Section 3006(c)(17) – frontal nudity"
"DOLL, SADIE POP B",,,,"Title 15, Section 3006(c)(17) – frontal nudity"
"DOLL, SARA JAY",,,,"Title 15, Section 3006(c)(17) – frontal nudity"
"DOLL, SEXY MIA KHALIFA",,,,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
"DOLL, SG GIRLS A",,,,"Title 15, Section 3006(c)(17) – frontal nudity"
"DOLL, SHA RIZEL",,,,"Title 15, Section 3006(c)(17) – frontal nudity"
"DOLL, SHARE MY BF",,,,"Title 15, Section 3006(c)(17) – frontal nudity"
"DOLL, SINNAMON LOVE",,,,"Title 15, Section 3006(c)(17) – frontal nudity"
"DOLL, SKYY BLACK",,,,"Title 15, Section 3006(c)(17) – frontal nudity"
"DOLL, STRETCHED OUT SNATCH",,,,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
"DOLL, SWALLOWED",,,,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
"DOLL, SWAP A",,,,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
"DOLL, SWAP B",,,,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
"DOLL, TEENS CURVES A, B, C AND ONLY TEENS BLOWJOB A AND B",,,,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
"DOLL, THE SEXY PATTYCAKE RISQUE",,,,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
"DOLL, VALENTINA NAPPI B",,,,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
"DOLL, YHIVI A AND KENDRA SPADE B",,,,"Title 15, Section 3006(c)(17) – frontal nudity"
"DOLL, YHIVI B",,,,"Title 15, Section 3006(c)(17) – frontal nudity"
"DOLL, ZOE DOLL & NOE MILK",,,,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
"DOLL: AALIYAH HADID, AELLA DANGER EXTRAS A, B, C AND D",,,,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
"DOLL: ASSES IN PUBLIC, TEEN KASIA, KATES PLAYGROUND A, B, AND C, BRITTYANA SELFIES C, D, AND F",,,,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
"DOLL: BOOBS AND BUTTS XL M & N, ASSES IN PUBLIC, YURIZAN BELTRAN, MEGAN RAIN",,,,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
"DOLL: KAKEY, NOE MILK, 40 OZ A & B, THIC STACI, PINKY, AND BUNZ4EVER",,,,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
"DOM”S GUIDE TO BDSM, VOL. 1",Matthew Larocco,,,"Title 15, Section 3006(c)(1) – violence or physical harm"
DOME,Luis Royo,,,"Title 15, Section 3006(c)(17) – frontal nudity"
DOMINION OVER MAN (2017),Barbara Daniels,,,"Title 15, Section 3006(c)(17) – frontal nudity"
"DON DIVA MAGAZINE, ISSUE 22",,,periodical,"Title 15, Section 3006(c)(19) – STG members or associates"
"DON DIVA MAGAZINE, ISSUE 26",,,periodical,"Title 15, Section 3006(c)(19) – STG members or associates"
"DON DIVA MAGAZINE, ISSUE NUMBER 28, 2007",,,periodical,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
"DON DIVA MAGAZINE, ISSUE NUMBER 28, 2007",,,periodical,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
"DON DIVA MAGAZINE, NOVEMBER 2017 ISSUE 61",,,periodical,"Title 15, Section 3006(d) – presents a serious threat to facility security or the safety of incarcerated persons and staff"
"DON DIVA MAGAZINE, VOLUME 19, ISSUE NUMBER 54",,,periodical,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
"DON DIVA MAGAZINE, VOLUME 4, ISSUE 16",,,periodical,"Title 15, Section 3006(c)(8) – a description of the making of any weapon, explosive, poison or destructive device"
"DON DIVA UPSCALE, MAY 2003",,,,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
"DON DIVA, COLLECTION, SPORTS, LUXURY AND CLASSIC CARS, ISSUE 26, 2006",,,periodical,"Title 15, Section 3006(c)(5) – plans to disrupt the order, or breach the security, of any facility"
DON’T BE CRUEL 3 & 4,Yonezou Nekota,,,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
"DON’T TOY WITH ME, MISS NAGATORO 1",Nanashi,,,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
DON’T TRY THIS AT HOME (2004),Dave Navarro & Neil Strauss,,,"Title 15, Section 3006(c)(17) – frontal nudity"
"DOROHEDORA, VOLUME 1",Q Hayashida,,periodical,"Title 15, Section 3006(c)(15)(C)(5) – conduct which is or appears to be forceful, threatening or violent"
"DOROHEDORA, VOLUME 2",Q Hayashida,,periodical,"Title 15, Section 3006(c)(15)(C)(5) – conduct which is or appears to be forceful, threatening or violent"
"DOROHEDORA, VOLUME 3",Q Hayashida,,periodical,"Title 15, Section 3006(c)(15)(C)(5) – conduct which is or appears to be forceful, threatening or violent"
"DOROHEDORA, VOLUME 4",Q Hayashida,,periodical,"Title 15, Section 3006(c)(15)(C)(5) – conduct which is or appears to be forceful, threatening or violent"
"DOROHEDORA, VOLUME 5",Q Hayashida,,periodical,"Title 15, Section 3006(c)(15)(C)(5) – conduct which is or appears to be forceful, threatening or violent"
DOUBLE CROSS,Sam and Chuck Giancana,,,"Title 15, Section 3006(c)(15)(C)(5) – conduct which is or appears to be forceful, threatening or violent"
"DOWN THERE, SEXUAL AND REPRODUCTIVE HEALTH (2011)",Susun S. Weed,,,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
DRACULINA MAGAZINE,,,periodical,"Title 15, Section 3006(c)(17) – frontal nudity"
DRAGON OF THE TWO FLAMES,Michael W. Ford,,,"Title 15, Section 3006(c)(17) – frontal nudity"
DRAGONS RIOTING 05 (2016),Tsuyoshi Watanabe,,,"Title 15, Section 3006(c)(16) – sexually explicit images"
DRAKAINA MASTERS,Drakaina,,,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
DRAMA (2025),Ivan Goodlow,,,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
DRAWING & ILLUSTRATION MAGAZINE,John Moranz,,periodical,"Title 15, Section 3006(c)(17) – frontal nudity"
"DRAWING ANATOMY, A PRACTICAL COURSE FOR ARTISTS",Barrington Barber,,,"Title 15, Section 3006(c)(17) – frontal nudity"
DRAWING BEAUTIFUL WOMEN,Frank Cho,,,"Title 15, Section 3006(c)(17) – frontal nudity"
"DRAWING FROM WITHIN, UNLEASHING YOUR CREATIVE POTENTIAL",Nick Meglin and Diane Meglin,,,"Title 15, Section 3006(c)(15)(C)(4) – conduct which appears to be non-consensual behavior"
DRAWING FROM YOUR IMAGINATION,Ron Tiner,,,"Title 15, Section 3006(c)(17) – frontal nudity"
DRAWING HEAD AND FIGURE,Jack Hamm,,,"Title 15, Section 3006(c)(17) – frontal nudity"
DRAWING MADE EASY,Barrington Barber,,,"Title 15, Section 3006(c)(15)(B)(3) – depicts nudity of a minor"
"DRAWING MAGAINE, SUMMER 2016 ISSUE",,,periodical,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
"DRAWING MAGAZINE, FALL 2015 ISSUE",,,periodical,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
"DRAWING MAGAZINE, FALL 2016 ISSUE",,,periodical,"Title 15, Section 3006(c)(17) – frontal nudity"
"DRAWING MAGAZINE, SPRING 2016",,,periodical,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
"DRAWING MAGAZINE, SPRING 2017 ISSUE",,,periodical,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
"DRAWING MAGAZINE, WINTER 2017 ISSUE",,,periodical,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
DRAWING THE FEMALE FIGURE,Joseph Sheppard,,,"Title 15, Section 3006(c)(15)(B)(3) – depicts nudity of a minor"
DRAWING THE FEMALE FIGURE,Hikaru Hayashi,,,"Title 15, Section 3006(c)(15)(B)(3) – depicts nudity of a minor"
DRAWING THE FEMALE NUDE,,,,"Title 15, Section 3006(c)(17) – frontal nudity"
DRAWING THE HUMAN FORM (1997),William A. Berry,,,"Title 15, Section 3006(c)(17) – frontal nudity"
DRAWING THE LIVING FIGURE,Joseph Sheppart,,,"Title 15, Section 3006(c)(17) – frontal nudity"
"DRAWING, A COMPLETE GUIDE (2010)",Giovanni Civardi,,,"Title 15, Section 3006(c)(16) – sexually explicit images"
DREAM SPECTRES,Jack Hunter,,,"Title 15, Section 3006(c)(17) – frontal nudity"
DREAMLAND: BORIS VALLEJO AND JULIE BELL :,Boris Vallejo & Julie Bell,,,"Title 15, Section 3006(c)(17) – frontal nudity"
DREAMS,Luis Royo,,,"Title 15, Section 3006(c)(17) – frontal nudity"
"DREAMS, THE ART OF BORIS VALLEJO",,,,"Title 15, Section 3006(c)(17) – frontal nudity"
DRINK THE HARVEST,Nan Chase,,,"Title 15, Section 3006(d) – presents a serious threat to facility security or the safety of incarcerated persons and staff"
DRONES (2015),Chris Lewis,,,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
"DRUG LORD, A TRUE STORY, THE LIFE AND DEATH OF A MEXICAN KINGPIN (2010)",Terrence E. Poppa,,,"Title 15, Section 3006(c)(19) – STG members or associates"
DRUGS LORDS OF OAKLAND,Titus Lee Barnes,,,"Title 15, Section 3006(c)(15)(C)(5) – conduct which is or appears to be forceful, threatening or violent"
DUFFLE BAG CARTEL,Ghost,,,"Title 15, Section 3006(c)(15)(C)(5) – conduct which is or appears to be forceful, threatening or violent"
DUFFLE BAG CARTEL,Ghost,,,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
DUFFLE BAG CARTEL 2,Ghost,,,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
DUFFLE BAG CARTEL 3,Ghost,,,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
"DULCE LATINA, VOL 5",,,,"Title 15, Section 3006(c)(17) – frontal nudity"
DUNGEONS & DRAGONS PLAYER’S HANDBOOK (2024),,,,"Title 15, Section 3006(d) – presents a serious threat to facility security or the safety of incarcerated"
"DUNGEONS & DRAGONS, 2014 PLAYER’S HANDBOOK (2018)",,,,"Title 15, Section 3006(d) – presents a serious threat to facility security or the safety of incarcerated"
"DUNGEONS & DRAGONS, ARMS AND EQUIPMENT GUIDE (2003)",Eric Cagle,,,"Title 15, Section 3006(d) – presents a serious threat to facility security or the safety of incarcerated"
"DUNGEONS & DRAGONS, DUNEGON MASTERS GUIDE",,,,"Title 15, Section 3006(d) – presents a serious threat to facility incarcerated"
"DUNGEONS & DRAGONS, FORGOTTEN REALMS, ADVENTURES IN FAERUN (2025)",,,,"Title 15, Section 3006(d) – presents a serious threat to facility security or the safety of incarcerated"
"DUNGEONS & DRAGONS, FORGOTTEN REALMS, HEROES OF FAERUN (2025)",Various Authors,,,"Title 15, Section 3006(d) – presents a serious threat to facility security or the safety of incarcerated"
"DUNGEONS & DRAGONS, MONSTER MANUAL (2020)",,,,"Title 15, Section 3006(d) – presents a serious threat to facility security or the safety of incarcerated"
"DUNGEONS AND DRAGONS, DUNGEON MAPS FOR GAME MASTERS, VOLUME 1 (2022)",Yassine Talhi,,periodical,"Title 15, Section 3006(d) – presents a serious threat to facility security or the safety of incarcerated"
DVD WORLD MAGAZINE,,,periodical,"Title 15, Section 3006(c)(17) – frontal nudity"
DYING FOR REVENGE (2009),Eric Jerome Dickey,,,"Title 15, Section 3006(c)(1) – violence or physical harm"
DYING FOR THE TRUTH: UNDERCOVER INSIDE THE MEXICAN DRUG WAR,BLOG from the Fugitive Reporters /Del Narco,,,"Title 15, Section 3006(c)(17) – frontal nudity"
DYNAMIC ANATOMY,Burne Hogarth,,,"Title 15, Section 3006(c)(17) – frontal nudity"
DYNAMIC FIGURE DRAWING,Burne Hogarth,,,"Title 15, Section 3006(c)(17) – frontal nudity"
EAGER BEAVERS MAGAZINE,,,periodical,"Title 15, Section 3006(c)(17) – frontal nudity"
EARN CASH FROM SPORTS WAGERING,,,,"Title 15, Section 3006(c)(13) – contains or concerns any gambling or a lottery"
"EARTH FIRST MAGAZINE, WINTER 2017",,,periodical,"Title 15, Section 3006(d) – presents a serious threat to facility security or the safety of incarcerated persons and staff"
"EARTH FIRST, MABON- FALL 2018",,,,"Title 15, Section 3006(d) – presents a serious threat to facility security or the safety of incarcerated persons and staff"
"EARTH FIRST, THE JOURNAL OF ECOLOGICAL RESISTANCE, FALL 2021, VOLUME 40, NUMBER 2",,,periodical,"Title 15, Section 3006(d) – presents a serious threat to facility security or the safety of incarcerated persons and staff"
"EAST OF WEST, THE END TIMES COMPENDIUM (2025)",Jonathan Hickman,,,"Title 15, Section 3006(c)(16) – sexually explicit images"
"EAST SIDE STORIES, GANG LIFE IN EAST LA",Ruben Martinezand Luis Rodriguez,,,"Title 15, Section 3006(d) – presents a serious threat to facility security or the safety of incarcerated persons and staff"
EASY RIDERS MAGAZINE,,,periodical,"Title 15, Section 3006(c)(17) – frontal nudity"
"EASYRIDERS MAGAZINE, AUGUST 2019, ISSUE #553",,,periodical,"Title 15, Section 3006(c)(16) – sexually explicit images"
"EASYRIDERS MAGAZINE, JULY 2016, ISSUE 517",,,periodical,"Title 15, Section 3006(c)(17) – frontal nudity"
"EASYRIDERS MAGAZINE, JULY 2018, ISSUE #540",,,periodical,"Title 15, Section 3006(c)(16) – sexually explicit images"
"EASYRIDERS MAGAZINE, JUNE 2014, ISSUE 492",,,periodical,"Title 15, Section 3006(c)(16) – sexually explicit images"
"EASYRIDERS MAGAZINE, JUNE 2016, ISSUE 516",,,periodical,"Title 15, Section 3006(c)(17) – frontal nudity"
"EASYRIDERS MAGAZINE, JUNE 2018, ISSUE 539",,,periodical,"Title 15, Section 3006(c)(17) – frontal nudity"
"EASYRIDERS, ISSUE 385, JULY 2005",,,periodical,"Title 15, Section 3006(c)(16) – sexually explicit images"
"EAT HER RIGHT, A SHORT MODERN GUIDE TO GETTING HER OFF (2014)",Brett Blair,,,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
"ED ROSENTHAL’S, MARIJUANA GROWER’S BIBLE",Ed Rosenthal,,,"Title 15, Section 3006(d) – presents a serious threat to facility security or the safety of incarcerated persons and staff"
"EDEN PRESS 2020, EDITION 2021",,,,"Title 15, Section 3006(c)(6) – plans for activities which violate the law, these regulations, or local procedures"
"EDEN PRESS, PRIVACY CATALOG, 2021-2022",,,,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
"EDMUND KEMPER, THE TRUE STORY OF A BRUTAL AMERICAN SERIAL KILLER",Roger Harrington,,,"Title 15, Section 3006(c)(15)(C)(5) – conduct which is or appears to be forceful, threatening or violent"
"EDMUND KEMPER, THE TRUE STORY OF THE CO-ED KILLER, VOLUME 2",Jack Rosewood,,periodical,"Title 15, Section 3006(c)(15)(C)(5) – conduct which is or appears to be forceful, threatening or violent"
"EGYPTIAN YOGA, THE PHILOSOPHY OF ENLIGHTENMENT, VOLUME 1",Muata Ashby,,periodical,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
"EL CHAPO, THE STORY OF THE WORLD’S MOST NOTORIOUS DRUG LORD (2021)",Terry Burrows,,,"Title 15, Section 3006(c)(19) – STG members or associates"
"EL KAMASUTRA, ILLUSTRADO",Raquel Navarro,,,"Title 15, Section 3006(c)(17) – frontal nudity"
"EL NARCO, INSIDE MEXICO’S CRIMINAL INSURGENCY",Ioan Grillo,,,"Title 15, Section 3006(c)(15)(C)(5) – conduct which is or appears to be forceful, threatening or violent"
"EL NARCO, INSIDE MEXICO’S CRIMINAL INSURGENCY (2025)",Ioan Grillo,,,"Title 15, Section 3006(c)(19) – STG members or associates"
EL SALVADOR,Larry Towell,,,"Title 15, Section 3006(c)(17) – frontal nudity"
"EL TRAIDOR, EL DIARIO SECRETO DEL HIJO DEL MAYO",Anabel Hernandez,,,"Title 15, Section 3006(c)(19) – STG members or associates"
"ELECTRIC IDOL, A DELICIOUSLY FORBIDDEN MODERN RETELLING OF PSYCHE AND EROS (2022)",Katee Robert,,,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
ELECTRICIANS POCKET MANUAL: SECOND EDITION,Rex Miller,,,"Title 15, Section 3006(d) – presents a serious threat to facility security or the safety of incarcerated persons and staff"
"ELECTRONIC ALL IN ONE FOR DUMMIES, 2ND EDITION",Doug Lowe,,,"Title 15, Section 3006(d) – presents a serious threat to facility security or the safety of incarcerated persons and staff"
"ELECTRONIC DEVICES AND CIRCUIT THEORY, ELEVENTH EDITION (2023)",Robert L. Boylestad,,,"Title 15, Section 3006(d) – presents a serious threat to facility security or the safety of incarcerated"
"ELEGANT MEDIEVAL, IRON-ON TRANSFER PATTERNS",Marty Noble,,,"Title 15, Section 3006(c)(17) – frontal nudity"
ELITE WRESTLING: MOVES FOR SUCCESS ON AND OFF THE MAT,Tom Ryan,,,"Title 15, Section 3006(d) – presents a serious threat to facility security or the safety of incarcerated persons and staff"
ELIXIR 1 IN SILENCE,Melanie Delon,,,"Title 15, Section 3006(c)(17) – frontal nudity"
"ELLE MAGAZINE, DECEMBER 2016 ISSUE",,,periodical,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
"ELLE MAGAZINE, FEBRUARY 2017 ISSUE",,,periodical,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
"ELLE MAGAZINE, JUNE 2015",N/A,,periodical,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
ELLE MARCH 2020,,,,"Title 15, Section 3006(c)(17) – frontal nudity"
"ELLE, THE IMPACT ISSUE, APRIL 2024",,,periodical,"Title 15, Section 3006(c)(17) – frontal nudity"
EMERGENCY,Neil Strauss,,,"Title 15, Section 3006(d) – presents a serious threat to facility security or the safety of incarcerated persons and staff"
"EMMA Y LAS OTRAS SENORAS DEL NARCO, SPANISH EDTIION (2024)",Anabel Hernandez,,,"Title 15, Section 3006(c)(19) – STG members or associates"
EMPIRE DESIGNS,Joseph Beunat,,,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
"EMPIRE OF THE VAMPIRE, BOOK 1 (2021)",Jay Kristoff,,,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
ENCHANTED; THE FAERIE AND FANTASY ART OF LINDA REVENSCROFT,Linda Ravenscroft/AAPPL Artists’ and Photographers’ Press Ltd.,,,"Title 15, Section 3006(c)(17) – frontal nudity"
"ENCHANTRA, WICKED GAMES, 2 (2025)",Kaylie Smith,,,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
"ENCYCLOPEDIA COMPONENTS, VOLUME 2 (2015)",Charles Platt,,periodical,"Title 15, Section 3006(d) – presents a serious threat to facility security or the safety of incarcerated"
ENCYCLOPEDIA OF BRAZILIAN JIU-JITSU,Rigan Machado and Jose M. Fraguas,,,"Title 15, Section 3006(d) – presents a serious threat to facility security or the safety of incarcerated persons and staff"
"ENCYCLOPEDIA OF ELECTRONIC COMPONENTS, VOLUME 3 (2016)",Charles Platt,,periodical,"Title 15, Section 3006(d) – presents a serious threat to facility security or the safety of incarcerated"
"ENCYCLOPEDIA OF LEGLOCKS, BRAZILIAN JIU JITSU",Rigan Machado,,,"Title 15, Section 3006(d) – presents a serious threat to facility security or the safety of incarcerated persons and staff"
EPILEPTIC (2006),David B.,,,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
