row,pdf_page,source_text
1385,71,"FEDOR: THE FIGHTING    Fedor Emilianenko                                 Title 15, Section
SYSTEM OF THE                                                            3006(c)(17) – frontal
WORLD’S UNDISPUTED                                                       nudity
KING OF MMA"
1386,71,"FEDS MAGAZINE, VOL.                             Clark Inc.               Title 15, Section
4, ISSUE 26                                                              3006(c)(17) – frontal
                                                                         nudity"
1387,71,"FELON FITNESS                                   Adams Media              Title 15, Section
                                                                         3006(d) – presents a
                                                                         serious threat to facility
                                                                         security or the safety of
                                                                         incarcerated persons
                                                                         and staff"
1388,71,"FEMALE EJACULATION     Somraj Pokras and        Ulyssess Press           Title 15, Section
                       Jeffre Talltrees                                  3006(c)(17) – frontal
                                                                         nudity"
1389,71,"FEMALE EJACULATION     Deborah Sundahl          Turner Publishing Co.    Title 15, Section
AND THE G-SPOT                                                           3006(c)(17) – frontal
                                                                         nudity"
1390,72,"FEMALE ORAL            Alyssa Ur             Create Space             Title 15, Section
STIMULATION                                                           3006(c)(17) – frontal
                                                                      nudity"
1391,72,"FEVER PITCH 2          Elias Chatzoudis      SQP, Inc.                Title 15, Section
                                                                      3006(c)(15)(A) – lacks
                                                                      serious literary, artistic,
                                                                      political or scientiﬁc
                                                                      value"
1392,72,"FIERCELY FEMALE,                             Trans High Corporation   Title 15, Section
HIGH TIMES,                                                           3006(d) – presents a
NOVEMBER 2021                                                         serious threat to facility
                                                                      security or the safety of
                                                                      incarcerated persons
                                                                      and staff"
1393,72,"FIFTY SHADES           E.L. James            Vintage Books            Title 15, Section
DARKER (2010)                                                         3006(c)(15)(A) – lacks
                                                                      serious literary, artistic,
                                                                      political or scientiﬁc
                                                                      value"
1394,72,"FIFTY SHADES FREED     E.L James             Vintage Books            Title 15, Section"
1395,72,"(2012)                                                                3006(c)(15)(A) – lacks
                                                                      serious literary, artistic,
                                                                      political or scientiﬁc
                                                                      value"
1396,72,"FIFTY SHADES OF        Marisa Bennett        Skyhorse Publishing      Title 15, Section
ECSTACY                                                               3006(c)(17) – frontal
                                                                      nudity"
1397,72,"FIFTY SHADES OF        EL James                                       Title 15, Section
GREY                                                                  3006(c)(15)(A) – lacks
                                                                      serious literary, artistic,
                                                                      political or scientiﬁc
                                                                      value"
1398,72,"FIGHT CLUB, A NOVEL    Chuck Palahniuk       W.W. Norton &            Title 15, Section
(1996)                                       Company                  3006(d) – presents a
                                                                      serious threat to facility
                                                                      security or the safety of
                                                                      incarcerated"
1399,72,"FIGHT TO WIN           Martin J. Dougherty   Tuttle Publishing        Title 15, Section
                                                                      3006(c)(1) – violence
                                                                      or physical harm"
1400,72,"FIGHTERS ONLY                                Fighters Only            Title 15, Section
MAGAZINE, APRIL                                                       3006(d) – presents a
2017 ISSUE                                                            serious threat to facility
                                                                      security or the safety of
                                                                      incarcerated persons
                                                                      and staff"
1401,72,"FIGHTERS ONLY                                Fighters Only Limited    Title 15, Section
MAGAZINE, AUGUST                                                      3006(d) – presents a
2016 ISSUE                                                            serious threat to facility
                                                                      security or the safety of
                                                                      incarcerated persons
                                                                      and staff"
1402,72,"FIGHTERS ONLY                                Fighters Only            Title 15, Section
MAGAZINE, AUGUST                                                      3006(c)(15)(A) – lacks
2017 ISSUE                                                            serious literary, artistic,
                                                                      political or scientiﬁc
                                                                      value"
1403,72,"FIGHTERS ONLY                                Fighters Only            Title 15, Section
MAGAZINE, FEBRUARY                                                    3006(d) – presents a
2017 ISSUE                                                            serious threat to facility
                                                                      security or the safety of
                                                                      incarcerated persons
                                                                      and staff"
1404,72,"FIGHTERS ONLY                                Fighters Only            Title 15, Section
MAGAZINE, HOLIDAY                                                     3006(d) – presents a
2016 ISSUE, NUMBER                                                    serious threat to facility
13                                                                    security or the safety of
                                                                      incarcerated persons
                                                                      and staff"
1405,72,"FIGHTERS ONLY                                12 Media Limited         Title 15, Section
MAGAZINE, JULY 2016                                                   3006(d) – presents a
ISSUE                                                                 serious threat to facility
                                                                      security or the safety of
                                                                      incarcerated persons
                                                                      and staff"
1406,72,"FIGHTERS ONLY                                Fighters Only Limited    Title 15, Section
MAGAZINE, MARCH                                                       3006(d) – presents a
2016 ISSUE 3, VOLUME                                                  serious threat to facility
7                                                                     security or the safety of
                                                                      incarcerated persons
                                                                      and staff"
1407,72,"FIGHTERS ONLY                                12 Media Ltd             Title 15, Section
MAGAZINE, MARCH                                                       3006(d) – presents a
2017 ISSUE                                                            serious threat to facility
                                                                      security or the safety of
                                                                   incarcerated persons
                                                                   and staff"
1408,73,"FIGHTERS ONLY                            Fighters Only             Title 15, Section
MAGAZINE, MAY 2017                                                 3006(d) – presents a
ISSUE                                                              serious threat to facility
                                                                   security or the safety of
                                                                   incarcerated persons
                                                                   and staff"
1409,73,"FIGHTERS ONLY                            Fighters Only             Title 15, Section
MAGAZINE,                                                          3006(d) – presents a
SEPTEMBER 2016                                                     serious threat to facility
ISSUE                                                              security or the safety of
                                                                   incarcerated persons
                                                                   and staff"
1410,73,"FIGHTERS ONLY,                           Fighters Only             Title 15, Section
DECEMBER 2016 ISSUE                                                3006(d) – presents a
                                                                   serious threat to facility
                                                                   security or the safety of"
1411,73,"FIGHTERS ONLY,                           Fighters Only             Title 15, Section
JANUARY 2017 ISSUE                                                 3006(d) – presents a
                                                                   serious threat to facility
                                                                   security or the safety of
                                                                   incarcerated persons
                                                                   and staff"
1412,73,"FIGHTERS ONLY,                           Fighters Only             Title 15, Section
OCTOBER 2016 ISSUE                                                 3006(d) – presents a
                                                                   serious threat to facility
                                                                   security or the safety of
                                                                   incarcerated persons
                                                                   and staff"
1413,73,"FIGURE DRAWING FOR       Andrew Loomis   Titan Books               Title 15, Section
ALL IT’S WORTH                                                     3006(c)(17) – frontal
                                                                   nudity"
1414,73,"FIGURE DRAWING,          M. Hampton      M. Hampton                Title 15, Section
DESIGN AND                                                         3006(c)(15)(A) – lacks
INVENTION                                                          serious literary, artistic,
                                                                   political or scientiﬁc
                                                                   value"
1415,73,"FILIPINO TATTOOS         Lane Wilcken    Schiffer Publishing Ltd   Title 15, Section
                                                                   3006(c)(17) – frontal
                                                                   nudity"
1416,73,"FILTHY FUN HOME          Daniel Blue     Daniel Blue               Title 15, Section
ALONE ADULT                                                        3006(c)(15)(A) – lacks
ACTIVITY BOOK                                                      serious literary, artistic,
                                                                   political or scientiﬁc
                                                                   value"
1417,73,"FINAL CUT (2024)         Charles Burns   Pantheon Books            Title 15, Section
                                                                   3006(c)(16) – sexually
                                                                   explicit images"
1418,73,"FINALLY LEGAL #347                       Free Mega Movies          Title 15, Section
                                                                   3006(c)(16) – sexually
                                                                   explicit images"
1419,73,"FIREAMS NEWS, FEB.                       Firearms                  Title 15, Section
2022 2022, VOL. 76,                                                3006(d) – presents a
ISSUE 5                                                            serious threat to facility
                                                                   security or the safety of
                                                                   incarcerated persons
                                                                   and staff"
1420,73,"FIREAMS NEWS, FEB.                       Firearms                  Title 15, Section
2022, VOL. 76, ISSUE 5                                             3006(c)(8) – a
                                                                   description of the
                                                                   making of any weapon,
                                                                   explosive, poison or
                                                                   destructive device"
1421,73,"FIREAMS NEWS,                            Firearms                  Title 15, Section
MARCH 2022, VOL. 76,                                               3006(d) – presents a
ISSUE 5                                                            serious threat to facility
                                                                   security or the safety of
                                                                   incarcerated persons
                                                                   and staff"
1422,73,"FIREARMS NEWS                            Mike Schoby               Title 15, Section
AK47/2018                                                          3006(c)(8) – a
                                                                   description of the
                                                                   making of any weapon,
                                                                   explosive, poison or
                                                                   destructive device"
1423,73,"FIREARMS NEWS                            Firearms News             Title 15, Section
MARCH 2022, VOL. 76,                                               3006(c)(8) – a
ISSUE 6                                                            description of the
                                                                   making of any weapon,
                                                                   explosive, poison or
                                                                   destructive device"
1424,73,"FIREARMS NEWS,                           Firearms                  Title 15, Section
DECEBER 2021, VOL.                                                 3006(c)(8) – a
75, ISSUE 24                                                  description of the
                                                              making of any weapon,
                                                              explosive, poison or
                                                              destructive device"
1425,74,"FIREARMS NEWS,                        Outdoor Sportsman       Title 15, Section
DECEMBER 2021                         Group,                  3006(c)(8) – a
                                                              description of the
                                                              making of any weapon,
                                                              explosive, poison or
                                                              destructive device"
1426,74,"FIREARMS NEWS,                        Outdoor Sportsman       Title 15, Section
FEBRUARY 2021,                        Group,                  3006(c)(8) – a
VOLUME 75, ISSUE 4                                            description of the
                                                              making of any weapon,"
1427,74,"FIREARMS NEWS,                        Outdoor Sportsman       Title 15, Section
JANUARY 2022,                         Group,                  3006(c)(8) – a
VOLUME 76, ISSUE 1                                            description of the
                                                              making of any weapon,
                                                              explosive, poison or
                                                              destructive device"
1428,74,"FIREARMS NEWS,                        Firearms News           Title 15, Section
OCTOBER 2021, VOL.                                            3006(c)(8) – a
75, ISSUE 19                                                  description of the
                                                              making of any weapon,
                                                              explosive, poison or
                                                              destructive device"
1429,74,"FIREARMS NEWS,                        Firearms News           Title 15, Section
OCTOBER 2021, VOL.                                            3006(c)(8) – a
75, ISSUE 20                                                  description of the
                                                              making of any weapon,
                                                              explosive, poison or
                                                              destructive device"
1430,74,"FIRST STEP IN          C.J.J. Berry   Fox Chapel Publishing   Title 15, Section
WINEMAKING                            Co, Inc.                3006(d) – presents a
                                                              serious threat to facility
                                                              security or the safety of
                                                              incarcerated persons
                                                              and staff"
1431,74,"FIVE FAMILIES          Selwyn Raab    St. Martin’s Press      Title 15, Section
                                                              3006(c)(19) – STG
                                                              members or associates"
1432,74,"FIYA GIRLS CATALOG,                   FIYA Girls, PO Box      Title 15, Section
NUMBER 18                             112118, TX 77293        3006(c)(17) – frontal
                                                              nudity"
1433,74,"FIYA GIRLS, CAMEL                     FIYA Girls              Title 15, Section
TOE, CATALOG 15                                               3006(c)(17) – frontal
                                                              nudity"
1434,74,"FIYA GIRLS, CAMEL                     FIYA Girls              Title 15, Section
TOE, CATALOG 2                                                3006(c)(17) – frontal
                                                              nudity"
1435,74,"FIYA GIRLS, FREAK                     FIYA Girls              Title 15, Section
SHOW VOL. 2                                                   3006(c)(15)(A) – lacks
                                                              serious literary, artistic,
                                                              political or scientiﬁc
                                                              value"
1436,74,"FIYA GIRLS, FREAK                     FIYA Girls              Title 15, Section
SHOW, VOLUME ONE                                              3006(c)(15)(A) – lacks
                                                              serious literary, artistic,
                                                              political or scientiﬁc
                                                              value"
1437,74,"FIYA GIRLS, HOT                       FIYA Girls              Title 15, Section
SHOTS VOL 1                                                   3006(c)(15)(A) – lacks
                                                              serious literary, artistic,
                                                              political or scientiﬁc
                                                              value"
1438,74,"FIYA GIRLS, SHEET 19                  FIYA Girls              Title 15, Section
PG-1                                                          3006(c)(17) – frontal
                                                              nudity"
1439,74,"FIYA, CATALOG 15                      FIYA Girls              Title 15, Section
                                                              3006(c)(15)(A) – lacks
                                                              serious literary, artistic,
                                                              political or scientiﬁc
                                                              value"
1440,74,"FLINC.H, BOOK TWO      John Arcudi                            Title 15, Section
                                                              3006(c)(17) – frontal
                                                              nudity"
1441,74,"FLIX 4 YOU NASTY,                     Flix 4 You              Title 15, Section
SPRING 2010, VOLUME                                           3006(c)(15)(A) – lacks
1                                                             serious literary, artistic,
                                                              political or scientiﬁc
                                                              value"
1442,74,"FLIX 4 YOU NASTY,                     Flix 4 You              Title 15, Section
VOL. 2                                                        3006(c)(15)(A) – lacks
                                                                           serious literary, artistic,
                                                                           political or scientiﬁc
                                                                           value"
1443,75,"FLIX 4 YOU, SPRING                              Flix 4 You                 Title 15, Section
CLING PORNO CHIX                                                           3006(c)(15)(A) – lacks
GONE WILD 2009                                                             serious literary, artistic,
                                                                           political or scientiﬁc
                                                                           value"
1444,75,"FLIX FOR YOU                                    Flix for You               Title 15, Section
PRESENTS, PORSTAR                                                          3006(c)(15)(A) – lacks
CUM-UP 9                                                                   serious literary, artistic,
                                                                           political or scientiﬁc
                                                                           value"
1445,75,"FLYING KITES (2019)    Project Novel Stanford   Haymarket Books in         Title 15, Section
                                                Chicago                    3006(c)(19) – STG
                                                                           members or associates"
1446,75,"FLYING OVER WALLS                               Flying Over Walls/SF       Title 15, Section
SF BAY AREA BLACK &                             Bay Area Black & Pink      3006(c)(16) – sexually
PINK, HOT PINK #4                                                          explicit images"
1447,75,"FLYING OVER WALLS,                              Flying Over Walls/SF       Title 15, Section
SF BAY AREA BLACK &                             Bay Area Black & Pink      3006(c)(15)(A) – lacks
PINK, HOT PINK #5                                                          serious literary, artistic,
                                                                           political or scientiﬁc
                                                                           value"
1448,75,"FLYING OVER                                     SF Bay Area Black &        Title 15, Section
WALLS/SF BAY AREA                               Pink                       3006(c)(15)(A) – lacks
BLACK & PINK, HOT                                                          serious literary, artistic,
PINK #3                                                                    political or scientiﬁc
                                                                           value"
1449,75,"FOOTSY, VOL.3 NO.7                              Flash Art                  Title 15, Section
                                                                           3006(c)(17) – frontal
                                                                           nudity"
1450,75,"FOOTWORK WINS          Davis Christian                                     Title 15, Section
FIGHTS                                                                     3006(d) – presents a
                                                                           serious threat to facility
                                                                           security or the safety of
                                                                           incarcerated persons
                                                                           and staff"
1451,75,"FORBIDDEN & TABOO      G.G. Goode               G.G. Goode                 Title 15, Section
EXPLICIT SEX STORIES                                                       3006(c)(15)(A) – lacks
COLLECTION (2021)                                                          serious literary, artistic,
                                                                           political or scientiﬁc
                                                                           value"
1452,75,"FORBIDDEN ART THE                               Schiffer Publishing Ltd.   Title 15, Section
WORLD OF EROTICA                                                           3006(c)(17) – frontal
                                                                           nudity"
1453,75,"FORBIDDEN DESIRE,      L.M. Mountford           Independently              Title 15, Section
TAKEN BY HER SON’S                              Published                  3006(c)(15)(A) – lacks
BEST FRIEND (2022)                                                         serious literary, artistic,
                                                                           political or scientiﬁc
                                                                           value"
1454,75,"FORBIDDEN FLOWERS      Nancy Friday                                        Title 15, Section
                                                                           3006(c)(15)(A) – lacks
                                                                           serious literary, artistic,
                                                                           political or scientiﬁc
                                                                           value"
1455,75,"FORBIDDEN              Michael Powell           Simon & Schuster           Title 15, Section
KNOWLEDGE                                                                  3006(d) – presents a
                                                                           serious threat to facility
                                                                           security or the safety of
                                                                           incarcerated persons
                                                                           and staff"
1456,75,"FORBIDDEN PLEASURE     Lora Leigh               St. Martins Press          Title 15, Section
                                                                           3006(c)(15)(A) – lacks
                                                                           serious literary, artistic,
                                                                           political or scientiﬁc
                                                                           value"
1457,75,"FORCED WOMANHOOD                                Forced-                    Title 15, Section
MAGAZINE                                        womanhood.com              3006(c)(17) – frontal
                                                                           nudity"
1458,75,"FORCED, FILTHY,        G.G. Goode               Goode Publications         Title 15, Section
FILTHY & FORBIDDEN,                                                        3006(c)(15)(A) – lacks
EROTIC SEX STORIES                                                         serious literary, artistic,
                                                                           political or scientiﬁc
                                                                           value"
1459,75,"FORCED, FILTHY,        G.G. Goode               Goode Publications         Title 15, Section
FILTHY & ROUGH,                                                            3006(c)(15)(A) – lacks
FORBIDDEN & EROTIC                                                         serious literary, artistic,
BDSM SEX STORIES                                                           political or scientiﬁc
COLLECTION                                                                 value"
1460,75,"FORGOTTEN 2, THE       Cris Ortega              Heavy Metal                Title 15, Section
PORTAL OF DESTINY                                                          3006(c)(17) – frontal
                                                                           nudity"
1461,76,"FOS FLYER 24                                 FOS                      Title 15, Section
                                                                      3006(c)(15)(A) – lacks
                                                                      serious literary, artistic,
                                                                      political or scientiﬁc
                                                                      value"
1462,76,"FOS FLYER 58                                 FOS                      Title 15, Section
                                                                      3006(c)(15)(A) – lacks
                                                                      serious literary, artistic,
                                                                      political or scientiﬁc
                                                                      value"
1463,76,"FOURTH WING, WING      Rebecca Yarros        Entangled Publishing,    Title 15, Section
AND CLAW                                     LLC                      3006(c)(15)(A) – lacks
COLLECTION, THE                                                       serious literary, artistic,
EMPYREAN 1 (2025)                                                     political or scientiﬁc
                                                                      value"
1464,76,"FOX MAGAZINE                                 Foxmagazine.com          Title 15, Section
                                                                      3006(c)(17) – frontal
                                                                      nudity"
1465,76,"FOX XXXTREME                                 Foxmagazine.com          Title 15, Section
MAGAZINE                                                              3006(c)(17) – frontal
                                                                      nudity"
1466,76,"FOX, VOLUME 255                              Blair Publishing, Inc.   Title 15, Section
                                                                      3006(c)(17) – frontal
                                                                      nudity"
1467,76,"FRAMED,                John Grisham          Penguin Random           Title 15, Section
ASTONISHING TRUE                             House                    3006(c)(1) – violence
STORIES OF                                                            or physical harm
WRONGFUL
CONVICTIONS (2024)"
1468,76,"FREE FALLING (2014)    SE Jakes              Riptide Publishing       Title 15, Section
                                                                      3006(c)(15)(A) – lacks
                                                                      serious literary, artistic,
                                                                      political or scientiﬁc
                                                                      value"
1469,76,"FREED (2011)           E.L. James            Sourcebooks, Inc.        Title 15, Section
                                                                      3006(c)(15)(A) – lacks
                                                                      serious literary, artistic,
                                                                      political or scientiﬁc
                                                                      value"
1470,76,"FREEDOM OF SPEECH,                           Freedom of Speech        Title 15, Section
NUDE 30                                                               3006(c)(17) – frontal
                                                                      nudity"
1471,76,"FREEDOM OF SPEECH,                           Freedom of Speech        Title 15, Section
NUDE 31                                                               3006(c)(17) – frontal
                                                                      nudity"
1472,76,"FREEDOM OF SPEECH,                           Freedom of Speech        Title 15, Section
NUDE 32                                                               3006(c)(17) – frontal
                                                                      nudity"
1473,76,"FREEDOM OF SPEECH,                           Freedom of Speech        Title 15, Section
NUDE 33                                                               3006(c)(17) – frontal
                                                                      nudity"
1474,76,"FREEWAY FEAR, THE      Sharon McQuillan      Independently            Title 15, Section
DRIFTER, THE VICTIMS                         Published                3006(c)(15)(A) – lacks
AND BONIN (2024)                                                      serious literary, artistic,
                                                                      political or scientiﬁc
                                                                      value"
1475,76,"FREEZING,              Dall-Young Lim and    Kill Time                Title 15, Section
ILLUSTRATED            Kwang-Hyun Kim        Communications           3006(c)(17) – frontal
JAPANESE MANGA                                                        nudity
BOOK, VOLUME 7-8"
1476,76,"FREEZING,              Dall-Young Lim and    Kill Time                Title 15, Section
ILLUSTRATED            Kwang-Hyun Kim        Communications           3006(c)(17) – frontal
JAPANESE MANGA                                                        nudity
BOOK, VOLUME 9-10"
1477,76,"FREEZING, VOLUME                             MacMillan Corporate      Title 15, Section
19-20                                                                 3006(c)(17) – frontal
                                                                      nudity"
1478,76,"FREEZING, VOLUME                             MacMillan Corporate      Title 15, Section
20-22                                                                 3006(c)(17) – frontal
                                                                      nudity"
1479,76,"FREEZING,ILLUSTRATE    Dall-Young Lim and    Kill Time                Title 15, Section
D JAPANESE MANGA       Kwang-Hyun Kim        Communication            3006(c)(15)(A) – lacks
BOOK, VOLUME 3-4                                                      serious literary, artistic,
                                                                      political or scientiﬁc
                                                                      value"
1480,76,"FREEZING,ILLUSTRATE    Dall-Young Lim and    Kill Time                Title 15, Section
D JAPANESE MANGA       Kwang-Hyun Kim        Communications           3006(c)(15)(A) – lacks
BOOK, VOLUME 5-6                                                      serious literary, artistic,
                                                                      political or scientiﬁc
                                                                      value"
1481,76,"FREUD FOR              Richard Appignanesi   Random House,            Title 15, Section
BEGINNERS                                                             3006(c)(17) – frontal
                                                                      nudity"
1482,77,"FRIDA A BIOGRAPHY     Hayden Herrera          Harper Perennial         Title 15, Section
OF FRIDA KAHLO                                                         3006(c)(15)(C)(5) –
                                                                       conduct which is or
                                                                       appears to be forceful,
                                                                       threatening or violent"
1483,77,"FRIDA KAHLO           Andrea Kettenmann       Taschen                  Title 15, Section
                                                                       3006(c)(17) – frontal
                                                                       nudity"
1484,77,"FRIDA KAHLO, THE      Hayden Herrera          Harper Collins           Title 15, Section
PAINTINGS                                     Publisher                3006(c)(15)(A) – lacks
                                                                       serious literary, artistic,
                                                                       political or scientiﬁc
                                                                       value"
1485,77,"FRIGHTFEST GUIDE TO   Gavin Baddeley          FAB Press, Ltd.          Title 15, Section
WEREWOLF MOVIES                                                        3006(c)(16) – sexually
(2019)                                                                 explicit images"
1486,77,"FRIGHTFEST GUIDE,                             FAB Press Ltd.           Title 15, Section
EXPLOITATION                                                           3006(c)(1) – violence
MOVIES, THE DARK                                                       or physical harm
HEAR OF CINEMA
(2017)"
1487,77,"FROM HELL, MASTER     Alan Moore and Eddie    Eddie Campbell           Title 15, Section
EDITION (2020)        Campbell                                         3006(c)(15)(A) – lacks
                                                                       serious literary, artistic,
                                                                       political or scientiﬁc
                                                                       value"
1488,77,"FROM NIGGAS TO        Akil                    Akil/Nia                 Title 15, Section
GODS, PART ONE                                Communications Press     3006(c)(15)(C)(5) –
                                                                       conduct which is or
                                                                       appears to be forceful,
                                                                       threatening or violent"
1489,77,"FROM NIGGAS TO                                NIA Communications       Title 15, Section
GODS, VOLUME II                               Press                    3006(c)(1) – violence
(2002)                                                                 or physical harm"
1490,77,"FROM PURPLE RAGS      Amos Jackson            Amos Jackson             Title 15, Section
TO RICHES                                                              3006(c)(15)(A) – lacks
                                                                       serious literary, artistic,
                                                                       political or scientiﬁc
                                                                       value"
1491,77,"FROM STREET ART TO    Marisa Kakoulas and     Edition Reuss            Title 15, Section
FINE ART, BLACK &     Edgar Hoil                                       3006(c)(15)(A) – lacks
GREY TATTOO 2                                                          serious literary, artistic,
                                                                       political or scientiﬁc
                                                                       value"
1492,77,"FROM STREET ART TO    Marisa Kakoulas/Edgar                            Title 15, Section
FINE ART-BLACK &      Hoill                                            3006(c)(17) – frontal
WHITE TATTOO 1-3                                                       nudity"
1493,77,"FUCKING TRANS         Mira Bellwether         Mira Bellwether          Title 15, Section
WOMEN MAGAZINE,                                                        3006(c)(15)(A) – lacks
OCTOBER 2010 ISSUE                                                     serious literary, artistic,
                                                                       political or scientiﬁc
                                                                       value"
1494,77,"FULL CUPS MAGAZINE                            Mavety Media Group,      Title 15, Section
                                              Ltd.                     3006(c)(17) – frontal
                                                                       nudity"
1495,77,"FULL STACK WEB        Philip Ackermann        Rheinwork Publishing     Title 15, Section
DEVELOPMENT, THE                                                       3006(c)(9) –
COMPREHENSIVE                                                          illustrations,
GUIDE (2023)                                                           explanations, and/or
                                                                       descriptions of how to
                                                                       sabotage or disrupt
                                                                       computers,
                                                                       communications, or
                                                                       electronics"
